Name,Rank,Price,24h Change,"""Market Cap""",Volume,Circ_Supply,Category
PUNDIX,474,0.31826 USD,+0.38%,82.24 M USD,6.95 M USD,258.39 M,Payments
XAI,475,0.076541 USD,−2.29%,82.16 M USD,36.43 M USD,1.07 B,Gaming
XYM,476,0.013380 USD,−1.88%,82.05 M USD,231.63 K USD,6.13 B,"Smart contract platforms, Enterprise solutions"
PIN,477,0.9296 USD,−2.09%,82 M USD,2.22 M USD,88.21 M,"Data management & AI, DePIN"
WELL,478,0.024946 USD,−1.73%,81.68 M USD,2.73 M USD,3.27 B,—
LON,479,0.69759 USD,0.00%,81.54 M USD,15.68 K USD,116.88 M,"Decentralized exchange, DeFi"
TRB,480,30.747 USD,−3.48%,81.55 M USD,18.74 M USD,2.65 M,"Oracles, Data management & AI, DeFi, Web3"
HSK,481,0.73639 USD,+4.08%,81 M USD,1.25 M USD,110 M,Centralized-exchange
KMNO,482,0.059968 USD,−3.79%,80.96 M USD,6.94 M USD,1.35 B,Lending & Borrowing
SHELL,483,0.29986 USD,−9.58%,80.96 M USD,82.69 M USD,270 M,—
ERG,484,0.9993 USD,−7.04%,79.9 M USD,146.28 K USD,79.95 M,"Privacy, Smart contract platforms, Analytics, Layer 1"
DENT,485,0.00079932 USD,−0.89%,79.93 M USD,6.08 M USD,100 B,"Data management & AI, Marketplace"
ABT,486,0.80698 USD,+6.24%,79.53 M USD,1.96 M USD,98.55 M,"Developments tools, Data management & AI, Interoperability"
OZO,487,0.19230 USD,+0.20%,78.96 M USD,228.2 K USD,410.59 M,"Data management & AI, Layer 1"
KEEP,488,0.081740 USD,−6.53%,77.99 M USD,24.92 K USD,954.08 M,"Privacy, Interoperability, DeFi"
SLP,489,0.0019089 USD,−2.09%,78.58 M USD,9.4 M USD,41.17 B,"Gaming, NFTs & Collectibles, Metaverse"
METFI,490,0.38309 USD,+0.70%,78.46 M USD,345.63 K USD,204.8 M,—
HEART,491,0.010077 USD,−9.33%,78.6 M USD,458.1 K USD,7.8 B,Data management & AI
XIN,492,106.96 USD,+0.78%,78.08 M USD,4.83 K USD,730 K,—
MLK,493,0.18020 USD,−1.14%,78.82 M USD,1.49 M USD,437.39 M,Loyalty & Rewards
USDP,494,1.0006 USD,+0.03%,77.79 M USD,7.07 M USD,77.74 M,"Stablecoins, Asset-backed Stablecoins, Cryptocurrencies"
AIAT,495,0.53699 USD,−3.34%,78.61 M USD,680.49 K USD,146.39 M,—
OXT,496,0.079298 USD,−4.57%,77.69 M USD,5.92 M USD,979.78 M,"Distributed computing & Storage, Data management & AI, Web3, DePIN"
SGB,497,0.0049400 USD,−3.92%,77.03 M USD,293.24 K USD,15.59 B,—
AUCTION,498,11.791 USD,−0.02%,77.7 M USD,17.51 M USD,6.59 M,"DeFi, Metaverse, Marketplace"
FOG,499,0.15406 USD,+9.80%,77.03 M USD,940.79 K USD,500 M,—
JOE,500,0.19993 USD,−1.30%,77.01 M USD,8.19 M USD,385.21 M,"Decentralized exchange, DeFi"
B,501,0.57969 USD,−8.02%,76.99 M USD,76.45 K USD,132.82 M,—
OAS,502,0.020169 USD,−0.18%,77.01 M USD,1.14 M USD,3.82 B,"Gaming, NFTs & Collectibles, Scaling, Layer 1"
CRVUSD,503,0.96808 USD,−0.77%,76.72 M USD,13.18 M USD,79.25 M,Stablecoins
BITCOIN,504,0.076539 USD,−1.07%,76.52 M USD,3.12 M USD,999.8 M,Memes
HASUI,505,2.9120 USD,+6.79%,76.14 M USD,8.97 M USD,26.15 M,Derivatives
DOGS,506,0.00014657 USD,−6.88%,75.74 M USD,18.99 M USD,516.75 B,Memes
CETUS,507,0.11441 USD,+11.13%,76 M USD,40.49 M USD,664.31 M,"Decentralized exchange, DeFi"
LQTY,508,0.79492 USD,+2.42%,75.24 M USD,24.22 M USD,94.66 M,"Lending & Borrowing, DeFi"
CFG,509,0.14490 USD,−3.71%,74.19 M USD,859.6 K USD,512.02 M,"Asset-backed Tokens, DeFi"
DF,510,0.073095 USD,+0.92%,73.09 M USD,42.21 M USD,999.93 M,"Lending & Borrowing, DeFi"
EDU,511,0.17444 USD,−7.83%,71.65 M USD,8.57 M USD,410.72 M,Education
OMI,512,0.00026315 USD,−5.54%,71.6 M USD,2.33 M USD,272.1 B,"Gaming, NFTs & Collectibles, Metaverse"
PCI,513,0.071079 USD,+0.10%,71.64 M USD,645.26 K USD,1.01 B,—
NMR,514,8.9798 USD,−1.26%,71.49 M USD,7.45 M USD,7.96 M,"Data management & AI, Asset management, Analytics"
BTRST,515,0.29600 USD,−3.27%,71.44 M USD,153.14 K USD,241.35 M,"Marketplace, Web3, Jobs"
USDTB,516,1.0000 USD,+0.02%,70.43 M USD,168.69 K USD,70.43 M,—
DEVVE,517,0.78423 USD,+3.31%,69.97 M USD,907.52 K USD,89.22 M,"Smart contract platforms, Gaming, Payments, Real estate, Marketplace"
STEEM,518,0.13930 USD,−2.50%,69.87 M USD,16.34 M USD,501.61 M,"Smart contract platforms, Payments, Social, media & Content, Web3"
ACS,519,0.0017143 USD,−3.93%,69.89 M USD,1.7 M USD,40.77 B,"NFTs & Collectibles, Social, media & Content"
OLAS,520,0.43499 USD,+1.41%,69.23 M USD,318.31 K USD,159.15 M,Data management & AI
MED,521,0.0072758 USD,+5.82%,69.44 M USD,966.83 K USD,9.54 B,Health
CTSI,522,0.081109 USD,−1.91%,69.62 M USD,8.25 M USD,858.4 M,"Smart contract platforms, Scaling, Web3, Layer 1"
BB,523,0.13800 USD,−3.12%,69.57 M USD,16.49 M USD,504.14 M,DeFi
USTC,524,0.012410 USD,−4.54%,68.94 M USD,4.28 M USD,5.55 B,"Stablecoins, Algorithmic Stablecoins, Seigniorage"
ARK,525,0.36826 USD,+0.42%,68.92 M USD,28.78 M USD,187.15 M,"Developments tools, Interoperability"
TAI,526,0.09957 USD,−4.96%,68.87 M USD,4.75 M USD,691.69 M,Data management & AI
QUAI,527,0.14280 USD,−1.84%,68.26 M USD,7.65 M USD,478 M,—
GOAT,528,0.068574 USD,−7.37%,68.57 M USD,20.22 M USD,999.99 M,Memes
SKI,529,0.067799 USD,−3.14%,67.08 M USD,7.03 M USD,989.4 M,Memes
KNC,530,0.36314 USD,−2.12%,67.85 M USD,8.14 M USD,186.83 M,"Decentralized exchange, DeFi, DAO"
FARTBOY,531,0.067499 USD,−14.67%,67.46 M USD,3.63 M USD,999.44 M,Memes
MTL,532,0.79998 USD,−2.70%,67.21 M USD,1.31 M USD,84.02 M,"Cryptocurrencies, Payments"
GRIFFAIN,533,0.066331 USD,−9.67%,66.32 M USD,16.41 M USD,999.88 M,Data management & AI
0X0,534,0.074999 USD,−6.46%,65.14 M USD,216.07 K USD,868.56 M,"Privacy, Data management & AI"
C98,535,0.072799 USD,−1.54%,65.58 M USD,32.49 M USD,900.83 M,"Payments, DeFi"
MPL,536,14.890 USD,+4.49%,65.78 M USD,946.69 K USD,4.42 M,"Lending & Borrowing, DeFi"
M87,537,0.000073630 USD,−5.50%,65.15 M USD,1.58 M USD,884.85 B,—
BEL,538,0.81008 USD,−7.08%,64.81 M USD,14.41 M USD,80 M,DeFi
AURORA,539,0.11101 USD,−1.26%,64.59 M USD,474.55 K USD,581.84 M,Interoperability
WPAY,540,0.110038 USD,+5.97%,63.98 M USD,575.53 K USD,581.4 M,—
ZRC,541,0.043219 USD,−3.77%,64.47 M USD,8.99 M USD,1.49 B,—
OMNI,542,3.9107 USD,−6.69%,64.34 M USD,15.02 M USD,16.45 M,"Interoperability, Scaling, Layer 1, Made in America"
COOKIE,543,0.18053 USD,+1.16%,64.5 M USD,29.69 M USD,357.28 M,"Data management & AI, Marketing"
NPC,544,0.0086313 USD,−7.26%,63.12 M USD,2.47 M USD,7.31 B,Memes
BTG,545,3.6241 USD,+6.69%,63.47 M USD,6.74 M USD,17.51 M,Cryptocurrencies
VANRY,546,0.032791 USD,−3.20%,63.66 M USD,15.3 M USD,1.94 B,Layer 1
CORGIAI,547,0.00019400 USD,+15.09%,66.64 M USD,154.31 K USD,343.53 B,"Memes, Data management & AI"
P,548,0.11310 USD,−5.84%,62.83 M USD,5 M USD,555.54 M,Memes
CARV,549,0.33634 USD,−1.43%,62.78 M USD,8.81 M USD,186.67 M,—
PEPECOIN,550,0.59002 USD,+3.27%,63.17 M USD,1.15 M USD,107.06 M,Memes
TST,551,0.066184 USD,−7.52%,62.76 M USD,54.74 M USD,948.25 M,—
AGI,552,0.055876 USD,−1.44%,62.28 M USD,3.08 M USD,1.11 B,Data management & AI
MOVR,553,6.5709 USD,−1.74%,62.39 M USD,6.49 M USD,9.5 M,"Smart contract platforms, Interoperability, Layer 1"
SOLV,554,0.042081 USD,+1.83%,62.39 M USD,157.91 M USD,1.48 B,—
ARDR,555,0.062069 USD,−1.15%,61.97 M USD,5.51 M USD,998.47 M,"Smart contract platforms, Scaling, Enterprise solutions"
AVL,556,0.38239 USD,−3.94%,61.83 M USD,55.43 M USD,161.68 M,—
WIN,557,0.000061940 USD,−1.64%,61.55 M USD,24.69 M USD,993.7 B,"Oracles, Data management & AI"
PYR,558,1.5849 USD,−3.36%,61.45 M USD,8.4 M USD,38.77 M,"Gaming, NFTs & Collectibles, Marketplace"
GAME,559,0.0036119 USD,−2.02%,61.46 M USD,14.73 M USD,17.02 B,—
SHX,560,0.010551 USD,−5.44%,61.13 M USD,544.3 K USD,5.79 B,—
SCRT,561,0.19973 USD,−4.17%,60.39 M USD,2.27 M USD,302.38 M,"Privacy, Smart contract platforms, Layer 1"
AI,562,0.20373 USD,−3.74%,60.26 M USD,12.22 M USD,295.79 M,"Data management & AI, Web3"
UNP,563,0.060109 USD,+0.04%,60.11 M USD,714.52 K USD,1 B,—
FWOG,564,0.061803 USD,−7.79%,60.3 M USD,9.22 M USD,975.64 M,Memes
PIXEL,565,0.046407 USD,−3.11%,59.55 M USD,16.17 M USD,1.28 B,"Gaming, NFTs & Collectibles, Web3"
ALCH,566,0.070113 USD,+29.30%,59.6 M USD,73.39 M USD,850 M,—
AEUR,567,1.0383 USD,+3.90%,59.19 M USD,77.75 K USD,57.01 M,"Stablecoins, Asset-backed Stablecoins"
BADGER,568,2.9132 USD,−9.18%,59.14 M USD,16.54 M USD,20.3 M,"Decentralized exchange, DeFi, DAO"
BAC,569,6.2595 USD,+2.08%,59.51 M USD,3.34 M USD,9.51 M,—
UFD,570,0.060614 USD,−18.03%,60.61 M USD,4.87 M USD,1 B,Memes
VENOM,571,0.059604 USD,−0.91%,58.94 M USD,156.23 K USD,988.92 M,"DeFi, DAO"
ISLM,572,0.035139 USD,+9.59%,58.1 M USD,2.1 M USD,1.65 B,—
H2O,573,0.070480 USD,−1.56%,58.15 M USD,567.06 K USD,825 M,"Social, media & Content, DAO"
BONE,574,0.25199 USD,−1.09%,57.94 M USD,3.88 M USD,229.92 M,"Memes, Decentralized exchange, NFTs & Collectibles, DeFi"
ALI,575,0.0070479 USD,+1.55%,57.72 M USD,772.96 K USD,8.19 B,"Data management & AI, Identity, NFTs & Collectibles, Interoperability, Enterprise solutions, Social, media & Content, Marketing, Metaverse, Education, Web3"
APEX,576,1.0387 USD,−6.09%,57.96 M USD,36.83 M USD,55.8 M,Decentralized exchange
AGRI,577,0.057719 USD,+0.42%,57.72 M USD,521.13 K USD,1 B,—
CLANKER,578,56.664 USD,+0.17%,56.66 M USD,5.39 M USD,1 M,Data management & AI
AUSD,579,0.99952 USD,+0.07%,57.19 M USD,18.1 M USD,57.21 M,Stablecoins
QANX,580,0.033498 USD,−4.39%,57 M USD,316.33 K USD,1.7 B,Layer 1
APU,581,0.00016860 USD,−5.84%,56.97 M USD,1.71 M USD,337.89 B,Memes
GMRT,582,0.056669 USD,+6.41%,56.67 M USD,3.84 M USD,1 B,—
BAN,583,0.056979 USD,+0.11%,56.98 M USD,31.46 M USD,999.96 M,Memes
API3,584,0.64579 USD,−3.86%,55.81 M USD,15.71 M USD,86.42 M,"Data management & AI, Web3"
NMT,585,1.6600 USD,−0.63%,55.53 M USD,1.78 M USD,33.45 M,Data management & AI
DODO,586,0.076512 USD,−2.89%,55.53 M USD,8.21 M USD,725.7 M,"Decentralized exchange, DeFi"
SUNDOG,587,0.053279 USD,−2.82%,53.14 M USD,19.43 M USD,997.42 M,Memes
USDL,588,1.0000 USD,0.00%,55.13 M USD,—,55.13 M,Stablecoins
JLP,589,3.9121 USD,−0.71%,54.82 M USD,38.79 M USD,14.01 M,Decentralized exchange
NYM,590,0.067535 USD,+9.90%,54.61 M USD,1 M USD,808.62 M,"Privacy, Smart contract platforms, Distributed computing & Storage, Interoperability, Payments, Web3, Layer 1, DePIN"
OSAK,591,0.000000070000 USD,+4.28%,54.59 M USD,48.24 K USD,750.87 T,Memes
BNT,592,0.46012 USD,+0.02%,54.31 M USD,4.59 M USD,118.04 M,"Decentralized exchange, DeFi"
QI,593,0.0084285 USD,+1.20%,54.02 M USD,3.69 M USD,6.41 B,"Lending & Borrowing, Derivatives, DeFi"
CBK,594,0.58969 USD,−1.88%,54.18 M USD,2.58 M USD,91.88 M,"Payments, Social, media & Content"
SFUND,595,0.82488 USD,−1.71%,53.69 M USD,441.02 K USD,65.09 M,Gaming
CAT,596,0.0000079900 USD,−4.20%,53.93 M USD,10.74 M USD,6.75 T,Memes
PURR,597,0.087998 USD,−5.54%,52.64 M USD,2.55 M USD,598.17 M,Memes
DIA,598,0.44842 USD,−1.04%,53.67 M USD,10.12 M USD,119.68 M,"Oracles, Data management & AI, Web3"
TON,599,1.2202 USD,−0.17%,53.5 M USD,663.97 K USD,43.84 M,"Interoperability, Scaling"
DEGEN,600,0.0037729 USD,−7.56%,53.5 M USD,16.61 M USD,14.18 B,Memes
AITECH,601,0.035829 USD,−3.81%,52.97 M USD,6.22 M USD,1.48 B,Data management & AI
GUSD,602,1.0005 USD,+0.06%,53.21 M USD,1.24 M USD,53.19 M,"Stablecoins, Asset-backed Stablecoins"
DUSK,603,0.11073 USD,−2.40%,53.21 M USD,8.91 M USD,480.5 M,"Privacy, Smart contract platforms, Enterprise solutions, Layer 1"
LOOM,604,0.042529 USD,−0.25%,52.86 M USD,1.47 M USD,1.24 B,"Scaling, Enterprise solutions"
MAGIC,605,0.16957 USD,−4.65%,52.97 M USD,11.66 M USD,312.38 M,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
PUFF,606,0.089333 USD,−1.41%,52.61 M USD,127.82 K USD,588.89 M,"Memes, Gaming, NFTs & Collectibles, Loyalty & Rewards, Web3"
SDEX,607,0.0058609 USD,+2.99%,52.85 M USD,379.93 K USD,9.02 B,"Decentralized exchange, DeFi"
ANDY,608,0.000052730 USD,+3.65%,52.73 M USD,1.48 M USD,1 T,Memes
REZ,609,0.026893 USD,+14.22%,54.44 M USD,184.88 M USD,2.02 B,Made in America
CTK,610,0.36606 USD,−1.70%,52.57 M USD,2.51 M USD,143.61 M,"Smart contract platforms, Interoperability, Cybersecurity"
PORTAL,611,0.11170 USD,−3.79%,52.19 M USD,10.75 M USD,467.21 M,Gaming
DEDA,612,0.58559 USD,+34.74%,74.37 M USD,9.37 K USD,127 M,—
FMC,613,0.0020215 USD,+0.40%,52.12 M USD,596.65 K USD,25.78 B,Centralized-exchange
ZEUS,614,0.31068 USD,+0.72%,52.04 M USD,8.35 M USD,167.5 M,Interoperability
ALE,615,0.31599 USD,+20.16%,52.07 M USD,1.28 M USD,164.79 M,—
CYBER,616,1.3685 USD,−3.41%,51.97 M USD,11.72 M USD,37.97 M,"Smart contract platforms, NFTs & Collectibles, Interoperability, Social, media & Content, Web3"
LTT,617,0.0029285 USD,+0.34%,51.77 M USD,199.65 K USD,17.68 B,—
QKC,618,0.0073039 USD,−2.16%,51.85 M USD,4.6 M USD,7.1 B,Smart contract platforms
HIGH,619,0.73167 USD,−1.90%,51.84 M USD,13.03 M USD,70.85 M,"Metaverse, Marketplace"
LUMIA,620,0.44266 USD,−1.63%,51.28 M USD,4.66 M USD,115.84 M,"Interoperability, DeFi, DAO"
LUSD,621,1.0001 USD,−0.04%,51.01 M USD,23.73 K USD,51 M,"Stablecoins, Asset-backed Stablecoins"
HIFI,622,0.35837 USD,−2.33%,50.81 M USD,7.85 M USD,141.78 M,"Lending & Borrowing, DeFi, Real estate, DAO, Made in America"
VELO,623,0.055905 USD,−6.96%,50.54 M USD,9.47 M USD,903.96 M,"Decentralized exchange, DeFi"
VON,624,0.00020570 USD,−37.41%,50.23 M USD,2.21 M USD,244.21 B,—
TRU,625,0.039352 USD,−4.26%,49.66 M USD,12.01 M USD,1.26 B,"Lending & Borrowing, DeFi"
NTRN,626,0.15095 USD,−4.32%,49.21 M USD,4.97 M USD,326.03 M,"Smart contract platforms, Interoperability, DeFi"
SWARMS,627,0.050037 USD,−1.55%,50.04 M USD,24.6 M USD,999.98 M,Data management & AI
COREUM,628,0.12690 USD,+2.03%,48.83 M USD,137.45 K USD,384.79 M,Layer 1
ALPH,629,0.46299 USD,−6.75%,48.65 M USD,638.74 K USD,105.07 M,"Smart contract platforms, Developments tools, NFTs & Collectibles, Scaling, Payments, DeFi, Analytics, Web3, DAO, Layer 1"
NOS,630,1.0170 USD,−7.98%,49.02 M USD,1.13 M USD,48.2 M,"Distributed computing & Storage, Data management & AI, DePIN"
ALU,631,0.048849 USD,−3.40%,48.36 M USD,18.7 M USD,990 M,"Gaming, Data management & AI, Marketplace, Made in America"
HDX,632,0.011000 USD,+1.85%,48.46 M USD,10.77 K USD,4.41 B,—
SYN,633,0.24763 USD,−2.40%,48.36 M USD,8.1 M USD,195.27 M,Interoperability
BANANA,634,13.941 USD,−4.51%,48.39 M USD,18.17 M USD,3.47 M,—
HPO,635,0.046191 USD,+0.09%,47.8 M USD,572.5 K USD,1.03 B,—
FUEL,636,0.011287 USD,+1.22%,47.57 M USD,2.79 M USD,4.21 B,Scaling
ACA,637,0.040899 USD,−4.99%,47.72 M USD,7.44 M USD,1.17 B,DeFi
NCT,638,0.025162 USD,+1.02%,47.44 M USD,765.1 K USD,1.89 B,"Smart contract platforms, Cybersecurity, Web3"
STRK,639,8.5987 USD,+0.33%,47.2 M USD,2.42 M USD,5.49 M,"Lending & Borrowing, DeFi"
OBT,640,0.016655 USD,+5.51%,46.63 M USD,14.95 M USD,2.8 B,—
BFC,641,0.034269 USD,+1.35%,47.52 M USD,5.72 M USD,1.39 B,"Interoperability, Payments"
ALICE,642,0.58210 USD,−0.60%,46.61 M USD,10.04 M USD,80.07 M,"Gaming, NFTs & Collectibles, Metaverse"
UDS,643,1.01838 USD,+6.64%,46.64 M USD,51.75 K USD,45.8 M,Gaming
RIF,644,0.046299 USD,−0.48%,46.3 M USD,5.91 M USD,1 B,"Distributed computing & Storage, Payments, Web3"
GNS,645,1.4851 USD,−0.60%,46.09 M USD,2.96 M USD,31.03 M,"Decentralized exchange, DeFi"
STMX,646,0.0037324 USD,+2.76%,46.09 M USD,39.19 M USD,12.35 B,"Social, media & Content, Loyalty & Rewards"
CATI,647,0.14609 USD,−4.95%,46 M USD,14.86 M USD,314.9 M,"Gaming, Tap to earn"
UQC,648,4.4798 USD,+0.18%,44.8 M USD,309.02 K USD,10 M,"Payments, DeFi, E-commerce"
SAGA,649,0.41091 USD,−2.51%,45.75 M USD,20.33 M USD,111.34 M,"Gaming, Data management & AI, Layer 1"
ARPA,650,0.029979 USD,−3.36%,45.56 M USD,8.39 M USD,1.52 B,"Privacy, Distributed computing & Storage"
OGN,651,0.065599 USD,−2.38%,45.31 M USD,9.38 M USD,690.73 M,"NFTs & Collectibles, DeFi, Made in America"
CXT,652,0.046699 USD,−5.55%,45.2 M USD,1.91 M USD,967.88 M,—
STG,653,0.22018 USD,−2.59%,44.99 M USD,12.36 M USD,204.34 M,Interoperability
TARA,654,0.0083982 USD,−8.05%,44.37 M USD,1.04 M USD,5.28 B,"Scaling, Web3, Layer 1, Made in America"
ASM,655,0.028470 USD,−4.30%,42.59 M USD,667.3 K USD,1.5 B,"Data management & AI, Payments, Loyalty & Rewards, Marketplace"
HFT,656,0.082689 USD,−3.06%,43.74 M USD,7.96 M USD,529.02 M,"Decentralized exchange, Gaming, NFTs & Collectibles, Interoperability, DeFi"
VR,657,0.0069544 USD,−8.00%,44.14 M USD,22.47 M USD,6.35 B,"Gaming, Data management & AI, NFTs & Collectibles, Metaverse"
MIN,658,0.031479 USD,−8.65%,43.89 M USD,266.49 K USD,1.39 B,"Decentralized exchange, Web3"
FORT,659,0.090198 USD,−1.83%,43.36 M USD,1.22 M USD,480.73 M,"Data management & AI, Cybersecurity"
AVA,660,0.043839 USD,−19.51%,43.84 M USD,10.77 M USD,999.99 M,—
EURCV,661,1.0509 USD,0.00%,43.48 M USD,—,41.37 M,Stablecoins
MNT,662,0.12410 USD,−5.63%,43.42 M USD,217.44 K USD,349.86 M,—
NAKA,663,0.41654 USD,−3.33%,43.31 M USD,8.92 M USD,103.96 M,"Gaming, NFTs & Collectibles, Metaverse"
SQD,664,0.077833 USD,−0.03%,43.31 M USD,329.06 K USD,556.48 M,Analytics
MERL,665,0.081914 USD,−1.75%,43 M USD,13.35 M USD,525 M,—
SN,666,1.0750 USD,+8.04%,43.01 M USD,3.87 K USD,40.01 M,"NFTs & Collectibles, Asset management"
GPU,667,0.42769 USD,−6.68%,41.09 M USD,783.32 K USD,96.07 M,"Distributed computing & Storage, Data management & AI, DePIN"
MBL,668,0.0023440 USD,+0.05%,42.92 M USD,26.56 M USD,18.31 B,"Social, media & Content"
COQ,669,0.00000062000 USD,+4.18%,42.92 M USD,2.83 M USD,69.42 T,Memes
ORAI,670,3.1339 USD,−3.99%,43.32 M USD,1.36 M USD,13.82 M,"Oracles, Data management & AI, DeFi, Analytics, Layer 1"
SWEAT,671,0.0060925 USD,−3.39%,42.7 M USD,1.51 M USD,7.01 B,"NFTs & Collectibles, Move to earn, Web3"
ERN,672,1.7806 USD,−0.50%,42.24 M USD,19.83 M USD,23.72 M,"Gaming, NFTs & Collectibles, Metaverse"
HIPPO,673,0.0042497 USD,+0.38%,42.5 M USD,29.75 M USD,10 B,Memes
THAPT,674,5.9543 USD,−0.29%,42.35 M USD,1.69 K USD,7.11 M,—
MOODENG,675,0.043096 USD,−7.26%,42.66 M USD,58.19 M USD,989.97 M,Memes
ELA,676,1.8725 USD,−3.76%,42.14 M USD,1 M USD,22.51 M,"Smart contract platforms, Web3, DePIN"
PRQ,677,0.13510 USD,−12.49%,41.92 M USD,6.78 M USD,310.26 M,"Smart contract platforms, Data management & AI, DeFi, Analytics, Web3"
ZEON,678,0.0013797 USD,−0.46%,42.12 M USD,10.86 K USD,30.53 B,—
FORTH,679,2.9339 USD,−0.31%,42.08 M USD,5.06 M USD,14.34 M,"Cryptocurrencies, DAO"
SYS,680,0.052199 USD,−4.42%,42.03 M USD,1.92 M USD,805.2 M,"Smart contract platforms, Scaling, Enterprise solutions, Layer 1"
SEND,681,0.84505 USD,+2.81%,41.17 M USD,1.64 M USD,48.72 M,"Lending & Borrowing, DeFi"
WNXM,682,46.757 USD,+2.28%,41.63 M USD,852.25 K USD,890.3 K,"Wrapped Tokens, Insurance, DAO"
MBX,683,0.21855 USD,+1.34%,41.56 M USD,744.98 K USD,190.14 M,Gaming
SOSO,684,0.58825 USD,−9.70%,41.47 M USD,22 M USD,70.5 M,—
AZERO,685,0.15565 USD,+2.52%,41.52 M USD,999.25 K USD,266.78 M,"Privacy, Smart contract platforms, Layer 1"
MOBILE,686,0.00045910 USD,−3.98%,40.99 M USD,5.25 M USD,89.28 B,"Distributed computing & Storage, DePIN"
XAH,687,0.069599 USD,+2.37%,40.99 M USD,2.64 K USD,588.89 M,—
CCD,688,0.0036049 USD,−1.97%,40.99 M USD,258.17 K USD,11.37 B,"Developments tools, Identity, Enterprise solutions, Layer 1"
DAR,689,0.063329 USD,−2.89%,41.03 M USD,9.96 M USD,647.87 M,"Gaming, NFTs & Collectibles, Metaverse"
RACA,690,0.00009913 USD,−0.92%,40.71 M USD,5.24 M USD,410.67 B,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
SAROS,691,0.015390 USD,+2.38%,40.4 M USD,284.61 K USD,2.63 B,Decentralized exchange
XTER,692,0.35406 USD,+29.98%,39.83 M USD,23.51 M USD,112.5 M,"Gaming, Web3"
ACE,693,0.75998 USD,−4.49%,39.93 M USD,13.05 M USD,52.54 M,"Gaming, Social, media & Content"
BAKE,694,0.13821 USD,−1.88%,40.05 M USD,8.11 M USD,289.77 M,"Decentralized exchange, NFTs & Collectibles, DeFi, Marketplace"
BINK,695,0.00026709 USD,−2.70%,39.78 M USD,3.59 K USD,148.94 B,—
NKN,696,0.050520 USD,−2.61%,39.66 M USD,6.63 M USD,785.08 M,"Distributed computing & Storage, Internet of things, Web3, DePIN"
KUJI,697,0.32369 USD,−1.77%,39.6 M USD,210.64 K USD,122.35 M,—
SAUCE,698,0.050814 USD,−5.70%,39.48 M USD,296.36 K USD,777.05 M,Decentralized exchange
GODS,699,0.11307 USD,+2.29%,39.5 M USD,1.46 M USD,349.31 M,"Gaming, NFTs & Collectibles"
NEIRO,700,0.039363 USD,−10.78%,39.36 M USD,16.68 M USD,1 B,Memes
RARE,701,0.048589 USD,−3.02%,39.03 M USD,10.2 M USD,803.19 M,"NFTs & Collectibles, Marketplace, DAO"
MBOX,702,0.094673 USD,−4.86%,38.81 M USD,9.25 M USD,409.92 M,"Gaming, NFTs & Collectibles, DeFi, Metaverse"
THE,703,0.40200 USD,−6.73%,38.74 M USD,12.44 M USD,96.38 M,"Cryptocurrencies, Smart contract platforms, Decentralized exchange, DeFi, Analytics, Web3"
META,704,0.022647 USD,+1.35%,38.62 M USD,219.86 K USD,1.71 B,Identity
EURT,705,1.0553 USD,+1.33%,38.4 M USD,919.57 K USD,36.39 M,"Stablecoins, Asset-backed Stablecoins"
ZCX,706,0.055822 USD,+0.78%,38.46 M USD,567.04 K USD,688.93 M,—
RAD,707,0.73969 USD,−1.73%,38.15 M USD,8.5 M USD,51.58 M,"Data management & AI, Web3, DAO"
ETN,708,0.0021180 USD,+0.50%,38.08 M USD,678.06 K USD,17.98 B,"Cryptocurrencies, Payments"
F,709,0.025140 USD,−5.93%,38.11 M USD,12.16 M USD,1.52 B,"Decentralized exchange, Derivatives, DeFi"
NFP,710,0.095498 USD,−2.89%,37.76 M USD,4.25 M USD,395.4 M,"Data management & AI, Payments, Social, media & Content, Web3"
LOCUS,711,0.018180 USD,+0.46%,37.83 M USD,231.67 K USD,2.08 B,"Scaling, Payments"
HOOK,712,0.16630 USD,−4.46%,37.63 M USD,5.37 M USD,226.25 M,"Gaming, Data management & AI, Metaverse, Education"
ALPHA,713,0.040784 USD,−0.59%,37.6 M USD,7.69 M USD,922 M,"DeFi, DAO, Fundraising"
CLV,714,0.030476 USD,−4.08%,37.31 M USD,11.85 M USD,1.22 B,Interoperability
LEVER,715,0.0010616 USD,−3.60%,37.14 M USD,6.91 M USD,34.98 B,"Asset management, DeFi"
TLOS,716,0.084398 USD,+1.71%,37.14 M USD,8.95 M USD,440 M,"Smart contract platforms, NFTs & Collectibles, Layer 1"
AVA,717,0.64500 USD,+4.09%,37.09 M USD,22.48 M USD,57.5 M,"Payments, Marketplace, Tourism, Hospitality"
MOB,718,0.18700 USD,−0.19%,37.1 M USD,27.23 K USD,198.4 M,"Privacy, Payments"
DEP,719,0.0012797 USD,+2.57%,36.76 M USD,1.31 M USD,28.73 B,"Gaming, NFTs & Collectibles, Metaverse"
WTAO,720,281.28 USD,−7.32%,36.91 M USD,—,131.23 K,—
GTC,721,0.38406 USD,−3.55%,36.83 M USD,6.73 M USD,95.91 M,"Web3, DAO"
ZEREBRO,722,0.037483 USD,−5.79%,36.69 M USD,15.73 M USD,978.8 M,Data management & AI
